,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
6786,US,"Kudos to Oak Grove for making such a nice wine at this everyday price. Drinks crisp in acidity and dry, with an ultraclean, spicy finish. Flavorwise, you'll find grilled nectarines and pineapples, with a touch of vanilla. This is a tremendous value.",Reserve,89,8,California,California,California Other,,,Oak Grove 2007 Reserve Viognier (California),Viognier,Oak Grove
6971,US,"Gentle in texture and generous in flavor, this wine is medium bodied, rather soft in mouthfeel and has ripe strawberry and red-cherry notes that are direct and delicious, leaving a fruity, almost sweet finish.",,86,8,California,California,California Other,Jim Gordon,@gordone_cellars,Woodbridge by Robert Mondavi 2015 Cabernet Sauvignon (California),Cabernet Sauvignon,Woodbridge by Robert Mondavi
6986,Australia,"There's a fair lick of dried wood notes on this straightforward sipper. The fruity strawberry and blueberry core is plush and pleasing, as is the soft grip of tannins at the backend.",Stamp of Australia,86,8,Australia Other,South Eastern Australia,,,,Hardys 2014 Stamp of Australia Shiraz (South Eastern Australia),Shiraz,Hardys
6987,Romania,"This medium-sweet wine brings aromas of acacia flowers and lemon lime zest to the fore. In the mouth there are flavors of honeycomb, lemon and acacia flower. The finish is delightful and slightly sweet.",Treasure of Transylvania Medium Sweet,86,8,Tarnave,,,Jeff Jenssen,@worldwineguys,Jidvei 2016 Treasure of Transylvania Medium Sweet Gewurztraminer (Tarnave),Gewürztraminer,Jidvei
7064,US,"Light apple and floral aromas lead to rich flavors like apple, honey and grapefruit and a definite sweetness. This wine is fresh and easy to enjoy.",,84,8,California,California,California Other,Jim Gordon,@gordone_cellars,Twisted 2013 Moscato (California),Moscato,Twisted
7322,Portugal,"The familiar rosé Lancers is all about crushed strawberries with a touch of sugar. There is a light structure, but the attractive light pink color and the fresh fruit all work together. Screwcap.",Lancers Rosé,81,8,Table wine,,,Roger Voss,@vossroger,José Maria da Fonseca NV Lancers Rosé Red (Table wine),Portuguese Red,José Maria da Fonseca
7425,US,"Light and fresh, with hints of peach, citrus, melon, spice and slate. The wine serves up a refreshing mix for spring and summertime sipping. Fruity on the finish. -J.M.",,86,8,California,Central Coast,Central Coast,,,Firestone 2002 Riesling (Central Coast),Riesling,Firestone
7427,US,"Bright, fresh, fruity and light bodied, with pretty peach, apple and spice flavors that leave a crisp, clean and pleasant finish. Fairly sweet, but refreshing.",Bay Mist,86,8,California,Monterey,Central Coast,,,J. Lohr 2002 Bay Mist Riesling (Monterey),Riesling,J. Lohr
7569,Romania,"An aromatic, fruity nose and balanced fruity/floral flavors recommend this elegant Chardonnay from Recas. Good minerality and acid and a lingering finish add to the appeal. Pair with poultry, pork.",,85,8,Recas,,,Susan Kostrzewa,@suskostrzewa,Cramele Recas 2008 Chardonnay (Recas),Chardonnay,Cramele Recas
7572,Chile,"Opens with honest green notes of gooseberry, lime and sea foam, and while the palate is a touch soft in texture, it has true Chilean SB flavors of bell pepper, fresh lettuce and melon. Sturdy on the finish, with a forward attitude.",Wetland Winemaker's Selection,85,8,Rapel Valley,,,Michael Schachner,@wineschach,Yali 2009 Wetland Winemaker's Selection Sauvignon Blanc (Rapel Valley),Sauvignon Blanc,Yali
7583,Romania,"This poised white offers aromas of honeysuckle, pear and flowers, and on the palate, curvy flavors of spice, apples and pear. Charming—serve chilled with cheese, dessert.",,85,8,Recas,,,Susan Kostrzewa,@suskostrzewa,Heavenly Retreat 2007 Riesling (Recas),Riesling,Heavenly Retreat
7602,Chile,"Pineapple and other tropical fruits comprise the simple, straightforward nose. Pear and tangerine flavors come across sharp, as does the finish. The wine is a bit edgy and lean on its own.",Estate Bottled,83,8,Cachapoal Valley,,,Michael Schachner,@wineschach,La Palma 2002 Estate Bottled Chardonnay (Cachapoal Valley),Chardonnay,La Palma
7608,Mexico,"Dark and earthy, slightly pruny and alcoholic, finishing on notes of tar and molasses.",,83,8,Valle de Guadalupe,,,,,L.A. Cetto 1999 Petite Sirah (Valle de Guadalupe),Petite Sirah,L.A. Cetto
7612,Chile,"Early aromas of sea water, mushroom and rubber integrate into a more pleasant whole. The flavors are sweet and candied, while on the finish a mild vegetal hint comes on. That said, the wine is decent in the mouth, where the texture is pleasant.",San Francisco de Mostazal Reserva Especial,82,8,Colchagua Valley,,,Michael Schachner,@wineschach,Vino de Eyzaguirre 2001 San Francisco de Mostazal Reserva Especial Syrah (Colchagua Valley),Syrah,Vino de Eyzaguirre
7644,Italy,"A great value choice, I Versi Bianco (made with Grecanico, Inzolia and Grillo) is a crisp wine, with easy aromas of lemon zest, cut grass, almond skin and crushed brimstone. Pair it with Southwestern grilled chicken salad.",I Versi Bianco,85,8,Sicily & Sardinia,Sicilia,,,,Fondo Antico 2010 I Versi Bianco White (Sicilia),White Blend,Fondo Antico
7714,South Africa,"You can't beat the price of this simple, quaffable red from Oak Lane, and certainly this is a wine that could make for very nice everyday sipping. A nose of wood spice and berry unfolds into flavors of toasted oak, bright berry and pepper. Though a bit one-dimensional, the wine offers structure and style.",Oak Lane,86,8,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Beau Joubert 2006 Oak Lane Merlot-Cabernet Sauvignon (Stellenbosch),Merlot-Cabernet Sauvignon,Beau Joubert
7715,South Africa,"A solid combination of Chenin's curvy, honeyed flavors and the clean crispness of Sauvignon Blanc. An affordable, dependable wine with a go-to personality for everyday enjoyment.",Oak Lane Chenin Blanc - Sauvignon Blanc,86,8,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Beau Joubert 2007 Oak Lane Chenin Blanc - Sauvignon Blanc White (Stellenbosch),White Blend,Beau Joubert
7813,Spain,"For a value-priced wine this scores well. The nose offers a nice mix of earth, warmth and berry fruit, while the palate is juicy, fresh and tastes of zesty berry. Composed on the finish, which is also fresh and lively. Perfect for by-the-glass or casual consumption.",,87,8,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Maximo 2007 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Maximo
7841,US,"A popular style, fruity and forward, with the emphasis on citrus, grapefruit and apricot, rather than floral qualities. Sweet fruit set against tangy acid makes it a versatile food wine too.",,87,8,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Chateau Ste. Michelle 2001 Gewürztraminer (Columbia Valley (WA)),Gewürztraminer,Chateau Ste. Michelle
7906,Portugal,"A sweet Vinho Verde, it is light, fruity and perfect for the summer. With crisp acidity, a lively, frothy texture and a clean apple aftertaste, it can be drunk now.",Arca Nova,84,8,Vinho Verde,,,Roger Voss,@vossroger,Quinta das Arcas 2013 Arca Nova White (Vinho Verde),Portuguese White,Quinta das Arcas
7973,US,"This opens with a lightly fruity aroma that carries a hint of fresh bread, butter and vanilla. These lead to fresh, straightforward fruit flavors like canteloupe and apple, again with a bit of vanilla kicking in on the finish. The texture is smooth, rather lush and the wine is light to medium bodied.",,86,8,California,California,California Other,Jim Gordon,@gordone_cellars,Coyote Creek 2013 Chardonnay (California),Chardonnay,Coyote Creek
8020,Portugal,"Here's a ripe, earthy wine that is softly tannic and richly fruity. It has a fine balance between the warm blackberry fruits and solid structure. Made to be drunk young, it is already delicious. Screwcap.",Ciconia,86,8,Alentejano,,,Roger Voss,@vossroger,Herdade de São Miguel 2012 Ciconia Red (Alentejano),Portuguese Red,Herdade de São Miguel
8034,US,"Here is a tasty, light-bodied Zin with its own style and a great price. It has a minty, eucalyptus aroma and vivid raspberry flavors, almost sweet in balance. Medium-bodied, it delivers a lingering fruity finish.",Family Reserve,86,8,California,California,California Other,Jim Gordon,@gordone_cellars,Oak Grove 2012 Family Reserve Zinfandel (California),Zinfandel,Oak Grove
9082,US,"The 2015 vintage is a strong one for Woodbridge. Ripe fruit tones, bright acidity and lightly mouth-puckering tannins underpin red cherry, clove and blackberry flavors, while the texture is mouthfilling. It's a treat to find an inexpensive wine with such good backbone.",,89,8,California,California,California Other,Jim Gordon,@gordone_cellars,Woodbridge by Robert Mondavi 2015 Pinot Noir (California),Pinot Noir,Woodbridge by Robert Mondavi
9134,Italy,"There is only a handful of Kosher sparkling Proseccos out there, and this is one of them. Lively and bright, the wine shows citrus, stone fruit and dried hay aromas.",Banero,84,8,Veneto,Prosecco,,,,Banero NV Banero  (Prosecco),Glera,Banero
9283,Portugal,"With soft tannins and ripe berry fruits, this is an immediately accessible wine. It has a fresh character, with a smoky edge and a ripe, smooth aftertaste. This would make a great barbecue wine for the summer.",Charamba,86,8,Douro,,,Roger Voss,@vossroger,Aveleda 2014 Charamba Red (Douro),Portuguese Red,Aveleda
9428,Argentina,"Briny raspberry aromas are a bit murky. This smacks down hard with acidity, while the flavors run toward earthy, generic plum and berry. A salty finish with animal notes is firm but struggles with cleanliness.",,82,8,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Casa de Campo 2011 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Casa de Campo
9496,Bulgaria,"Nicely concentrated with a core of ripe red fruit and menthol, this is a fresh, forward Cab that's a bargain at $8. Bright and clean from start to finish, the finish lingers on smooth, velvety tannins and a fresh, herbaceous mint note.",Veni Vidi Vici,87,8,Thracian Valley,,,Anna Lee C. Iijima,,Vini 2009 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vini
9585,Spain,"Peach and lemon curd aromas are good but basic. A plump, melony palate displays freshness and flavors of honeydew, papaya and lime. A soft but not flabby palate is just bright enough.",,85,8,Northern Spain,Rueda,,Michael Schachner,@wineschach,Viña Vilano 2013 Verdejo (Rueda),Verdejo,Viña Vilano
9623,France,"A blend of Colombard and Ugni Blanc, this crisp, light wine is as fresh as a daisy. Fruity and aromatic, it offers citrus and melon flavors. The fruit explodes in the mouth, leaving a light, bright aftertaste.",Colombelle L'Originel,85,8,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Producteurs Plaimont 2013 Colombelle L'Originel White (Côtes de Gascogne),White Blend,Producteurs Plaimont
9627,Chile,"Clean, simple pear, melon and apple aromas are friendly. Reasonably full and fresh on the palate, this value-priced wine tastes of tropical fruits including banana and papaya as well as honey. A slightly oily finish gives weight to closing citrus flavors.",Petirrojo Reserva,85,8,Colchagua Valley,,,Michael Schachner,@wineschach,Viña Bisquertt 2014 Petirrojo Reserva Chardonnay (Colchagua Valley),Chardonnay,Viña Bisquertt
9648,Chile,"Stony lemon-lime aromas are low on fruit but clean and familiar. This is racy and fresh, with cutting acidity. Flavors of lime and passion fruit register as common, while the finish is zesty, with an emphasis on grapefruit.",Petirrojo Reserva,85,8,Colchagua Valley,,,Michael Schachner,@wineschach,Viña Bisquertt 2014 Petirrojo Reserva Sauvignon Blanc (Colchagua Valley),Sauvignon Blanc,Viña Bisquertt
9694,Spain,"Roasted and mildly leafy, and then clacky and a bit tannic in the mouth. The fruit flavors are good and mostly pure as they settle on black cherry and blackberry, while the finish is jammy but short. For $8 this should not disappoint.",,86,8,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Capa 2008 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Capa
9700,Portugal,"Going for structure as much as fruit, this is a cool wine with black currant flavors giving high acidity. It feels light, fresh, although there are tannins and spice to give some final weight.",Bridão Classico,86,8,Ribatejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2007 Bridão Classico Red (Ribatejo),Portuguese Red,Adega Cooperativa do Cartaxo
9838,Chile,"Aromas of black olive and black fruits show an almost grilled element. This wine offers energy and balance, with a touch of oak. Plum, berry and cherry flavors end powerfully on a tightly wound finish.",120 Reserva Especial Hero's,86,8,Central Valley,,,Michael Schachner,@wineschach,Santa Rita 2016 120 Reserva Especial Hero's Red (Central Valley),Red Blend,Santa Rita
9869,US,"What a great value! This medium-bodied wine has spicy oak accents and mouth-filling fruit flavors. It's ripe and generous, with plump cherry and raspberry notes and a palate marked by mild tannins and soft texture.",,88,8,California,California,California Other,Jim Gordon,@gordone_cellars,Three Thieves 2015 Pinot Noir (California),Pinot Noir,Three Thieves
10119,Italy,"From a winery founded 137 years ago, this Grillo-based Sicilian white offers fresh aromas of citrus, honey, exotic fruit and Granny Smith apple. The finish is pure, simple and clean.",Villa Tonino,86,8,Sicily & Sardinia,Sicilia,,,,Baglio Curatolo Arini 1875 2010 Villa Tonino Grillo (Sicilia),Grillo,Baglio Curatolo Arini 1875
10218,Spain,"A pleasant, softly fruity bubbly with a tad more sweetness than you’d think from “Extra Dry.” It has some pretty flavors of apple juice with a dash of lime. Crisp acidity and fine, distinct bubbles keep things lively and fresh with this very clean crowd-pleaser of a wine.",Cordon Negro Extra Dry,85,8,Catalonia,Penedès,,,,Freixenet NV Cordon Negro Extra Dry  (Penedès),Champagne Blend,Freixenet
10454,Argentina,"Peach, scented candle wax and matchstick make for a solid bouquet. Feels good, maybe a touch cloying, but not too much. Flavors of crystallized mango and pineapple mix with fresh melon, and the finish is clean. About all you could hope for from an $8 Argentine Moscato.",,85,8,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Casa de Campo 2011 Moscato (Mendoza),Moscato,Casa de Campo
10568,US,"This wine has a hot-pink color, effusive strawberry and cherry aromas and then sweet fruit flavors that give a sugary impression on the palate. It's very simple in approach and low in alcohol.",White,84,8,California,California,California Other,Jim Gordon,@gordone_cellars,Woodbridge by Robert Mondavi 2016 White Zinfandel (California),Zinfandel,Woodbridge by Robert Mondavi
10570,Portugal,This is called sweet and that's what it is. The candied sweetness is balanced by some acidity to keep the wine crisp and fruity. It will be fine as an apéritif. Drink now.,Casal Garcia Sweet,84,8,Vinho Verde,,,Roger Voss,@vossroger,Aveleda NV Casal Garcia Sweet White (Vinho Verde),Portuguese White,Aveleda
10824,Chile,"Powdery berry aromas lead to a basic palate that's chewy but hollow in the middle. Cherry and plum flavors are generic, while this wine displays a solid feel on the finish.",120,85,8,Aconcagua Valley,,,Michael Schachner,@wineschach,Santa Rita 2016 120 Pinot Noir (Aconcagua Valley),Pinot Noir,Santa Rita
10827,US,This light-bodied wine has aromas of celery and citrus that lead to crisp flavors of fresh herbs and lemon. Good acidity is smoothed out by a hint of sweetness lending a soft effect to the midpalate and finish.,,85,8,California,California,California Other,Jim Gordon,@gordone_cellars,Woodbridge by Robert Mondavi 2016 Sauvignon Blanc (California),Sauvignon Blanc,Woodbridge by Robert Mondavi
10941,US,"This inexpensive wine is enjoyable to drink for its raisin aromas, ample fruit flavors and comparatively soft, easy texture for the variety.",Family Reserve,86,8,California,California,California Other,Jim Gordon,@gordone_cellars,Oak Grove 2013 Family Reserve Petite Sirah (California),Petite Sirah,Oak Grove
11085,France,A white this age should be fresh and crisp; this one is a bit dull and shows only faint bitter lemon flavors on the finish to go with tired apple aromas.,,80,8,Southwest France,Bergerac,,Joe Czerwinski,@JoeCz,Seigneurs de Bergerac 1999 White (Bergerac),White Blend,Seigneurs de Bergerac
11285,Portugal,"In a reference to the storks who build nests in the chimneys of the Eiffel-designed DFJ winery, Storks Landing shows bright acidity, layers of citrus plus a touch of more exotic pineapple. A blend of Fernão Pires and Chardonnay, it's fresh and light in the mouth, mineral and crisp at the end.",Storks Landing,86,8,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2013 Storks Landing White (Lisboa),Portuguese White,DFJ Vinhos
11362,US,"Somewhat watery and simple, this Pinot has pleasant cherry, cola and oak flavors. The mouthfeel is raw.",,82,8,California,California,California Other,,,Woodbridge by Robert Mondavi 2012 Pinot Noir (California),Pinot Noir,Woodbridge by Robert Mondavi
11370,US,"This Merlot seems designed for folks who like their red wines with residual sugar. It's soft and sugary, with raspberry jam and oak flavors.",,81,8,California,California,California Other,,,Woodbridge by Robert Mondavi 2012 Merlot (California),Merlot,Woodbridge by Robert Mondavi
11592,Portugal,"Lightly sweet, this is a soft, gently fruity wine with a prickle on the tongue and fruit-drop acidity. Screwcap.",Casal Garcia,83,8,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2012 Casal Garcia Rosé (Vinho Verde),Portuguese Rosé,Aveleda
11623,Portugal,"Named after the crickets, or cicadas, whose song fills the summer nights, this soft and lightly perfumed wine has citrus and apple fruit flavors, a tangy, flinty texture and plenty of acidity. Drink now.",Cigarra Branco,85,8,Lisboa,,,Roger Voss,@vossroger,Casa Santos Lima 2015 Cigarra Branco White (Lisboa),Portuguese White,Casa Santos Lima
12057,Argentina,"This opens with a familiar taste of artificial, roasted char, then it moves on to soupy berry aromas. It feels scratchy, with flavors of hickory, baked plum and berry.",,82,8,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Funky Llama 2011 Merlot (Mendoza),Merlot,Funky Llama
12065,US,"This Merlot is thin in body and flavor, with sour cherry and white pepper notes. Despite that, it's clean and dry.",,82,8,California,California,California Other,,,Butterfield Station 2010 Merlot (California),Merlot,Butterfield Station
12072,US,"Dry and silky in texture, but there's not much else going on, except for modest cherry, tobacco and herb flavors.",,82,8,California,California,California Other,,,Redtree 2011 Pinot Noir (California),Pinot Noir,Redtree
12078,US,"This seems as sweet as fruit juice, with flavors of orange, pineapple and banana. It's creamy and warm, in the way of the modern Chardonnay style.",,82,8,California,California,California Other,,,Butterfield Station 2011 Chardonnay (California),Chardonnay,Butterfield Station
12399,Portugal,"This is a spicy, rich, smooth wine, immediately attractive and ready to drink. It has ripe tannins, black fruits in abundance and delicious acidity to give a lift. It's a classic barbecue wine and great for summer parties.",Quinta das Setencostas,87,8,Alenquer,,,Roger Voss,@vossroger,Casa Santos Lima 2009 Quinta das Setencostas Red (Alenquer),Portuguese Red,Casa Santos Lima
12505,Italy,"I Versi is a youthful blend of Nero d'Avola, Merlot and Syrah that offers plump aromas of ripe cherry and blackberry backed by soft tones of cinnamon and toasted almond. It's a perfect pairing to a heaping plate of spaghetti carbonara with crispy fried bacon.",I Versi,86,8,Sicily & Sardinia,Sicilia,,,,Fondo Antico 2010 I Versi Red (Sicilia),Red Blend,Fondo Antico
12635,US,"A great entry-level Riesling, fresh, floral and delicate, the Two Vines offers refined, even subtle flavors of green apple and melon, with lovely natural acidity. Despite considerable residual sugar, it does not seem overly sweet.",Two Vines,88,8,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Columbia Crest 2008 Two Vines Riesling (Columbia Valley (WA)),Riesling,Columbia Crest
12705,Portugal,"An attractively fruity wine that's easy to drink and fresh. Lemon and apples give a crisp edge, followed by a zesty, fragrant character. Drink this light wine now.",Portada Winemaker's Selection Branco,84,8,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2013 Portada Winemaker's Selection Branco White (Lisboa),Portuguese White,DFJ Vinhos
12760,Spain,"Cassis, raisin, vanilla and rooty spice aromas give this Tempranillo blend some class on the bouquet. It's resiny and fairly heavy feeling, with lightly burnt and earthy flavors of herbal red berry and plum. Dry and peppery on the finish.",Señorío de los Llanos Crianza,85,8,Central Spain,Valdepeñas,,Michael Schachner,@wineschach,Bodegas Los Llanos 2005 Señorío de los Llanos Crianza Red (Valdepeñas),Red Blend,Bodegas Los Llanos
12982,France,"A blend of Cabernet and Merlot, this has red fruit notes, a light structure and plenty of final acidity. It finishes with caramel as well as freshness.",Colombelle L'Originel,84,8,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Producteurs Plaimont 2013 Colombelle L'Originel Rosé (Côtes de Gascogne),Rosé,Producteurs Plaimont
13002,Argentina,"A dose of cherry cough drop adds sweetness to what is otherwise a tart, simple, steely version of Cabernet Sauvignon blended with Malbec. The mouthfeel is sheering and lean, while the finish offers some out of place butter to fatten up the astringent red fruit.",El Encanto,82,8,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Aitor Ider Balbo 2006 El Encanto Cabernet Sauvignon-Malbec (Mendoza),Cabernet Sauvignon-Malbec,Aitor Ider Balbo
13003,Argentina,The style is obtuse and the wine is sweet as sin and unctuous. Aromas of canned pear and peach suggest a lot of residual sugar.,La Vuelta Unoaked,82,8,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodegas Escorihuela 2006 La Vuelta Unoaked Chardonnay (Mendoza),Chardonnay,Bodegas Escorihuela
13213,Spain,"Cherry and blackberry aromas are simple and slightly rubbery and reduced. In the mouth, this is juicy, fruity and a touch scratchy. Flavors of jammy berry and black plum finish regular and easy.",El Circo Volatinero,86,8,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Grandes Vinos y Viñedos 2013 El Circo Volatinero Tempranillo (Cariñena),Tempranillo,Grandes Vinos y Viñedos
13413,Spain,"Basic and a little sweet and confected, but consider the price and you should be smiling. There's some bramble and pepper to the nose, but mostly it's just ripe and full of blackberry and black plum character. Candied and almost cloying, but remains flush and happy. Good in the midlevel category.",,86,8,Levante,Jumilla,,Michael Schachner,@wineschach,Wrongo Dongo 2009 Monastrell (Jumilla),Monastrell,Wrongo Dongo
13552,Chile,"Flamboyant, exotic aromas of oranges and mangoes emanate from the glass, but the tropical and citrus fruits are more muted in the mouth, finishing with earth and a spicy, clove-pepper note.",Estate,85,8,Cachapoal Valley,,,Joe Czerwinski,@JoeCz,Agustinos 2001 Estate Chardonnay (Cachapoal Valley),Chardonnay,Agustinos
13568,US,"Bone-dry, hard and crisp, this is a basic, stainless-steel fermented, nonmalolactic style of Chardonnay. Brisk and competent, but neutral.",,84,8,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Paul Thomas 1999 Chardonnay (Washington),Chardonnay,Paul Thomas
13569,Australia,"This stylish lightweight has some tasty pear, quince and citrus flavors, finishing with a hint of spice. Best as an apéritif or with a light fish course.",,84,8,New South Wales,New South Wales,,Joe Czerwinski,@JoeCz,Penmara 2000 Chardonnay (New South Wales),Chardonnay,Penmara
13669,Portugal,"A lean, edgy wine, which shows bramble fruits, red berries and tense tannins. There's fine structure and, given a few months, the acidity will turn this into a good food wine.",Cortello,86,8,Estremadura,,,Roger Voss,@vossroger,Quinta do Gradil 2005 Cortello Syrah (Estremadura),Syrah,Quinta do Gradil
14083,Argentina,"Incredibly candied and sweet smelling, much like cotton candy or pink marshmallows. The palate has a cloying, sticky mouthfeel and flavors of raisin, milk chocolate and herbal, tart berry fruits. Creamy and carob-like on the finish. Tastes and smells affected.",,82,8,Other,Famatina Valley,,Michael Schachner,@wineschach,Santa Florentina 2009 Cabernet Sauvignon (Famatina Valley),Cabernet Sauvignon,Santa Florentina
14395,US,"A pretty good Cabernet for this everyday price. It's very dry and rich in tannins, with sweet-and-sour flavors of cherries, herbs and mint. Fine for an inexpensive, by-the-glass program.",,84,8,California,California,California Other,,,Round Hill 2008 Cabernet Sauvignon (California),Cabernet Sauvignon,Round Hill
14435,Portugal,"Although based in Bairrada, further south, Messias does have considerable interests in the Douro. This wine, with its firm, mineral structure, brings out the tannins and concentration of the Douro. That goes with the black fruit flavors that are dark and dry. Drink this wine now.",Messias Selection,86,8,Douro,,,Roger Voss,@vossroger,Messias 2013 Messias Selection Red (Douro),Portuguese Red,Messias
14547,Portugal,"Soft, with a light texture and approachable acidity, this is a bright wine that has plenty of apricot and pear flavors. The wine is fresh and ready to drink, with an orange zest finish.",Portada Winemaker's Selection Branco,84,8,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2014 Portada Winemaker's Selection Branco White (Lisboa),Portuguese White,DFJ Vinhos
14555,Portugal,"One of the classic brands of Vinho Verde, this is still one of the best. It has great fruitiness and crisp acidity, only just off dry. Lemon sherbet and fresh orange zest give a delicious lift to the finish.",Casal Garcia Branco,84,8,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2014 Casal Garcia Branco White (Vinho Verde),Portuguese White,Aveleda
14720,Spain,"A bit off course as Verdejo goes, with spritz to the palate and then mealy citrus and persimmon flavors. Lingers but doesn't do or say much on the finish. Not bad but it doesn't click.",Organic,82,8,Spain Other,Spain,,Michael Schachner,@wineschach,Vicente Gandia 2010 Organic Verdejo (Spain),Verdejo,Vicente Gandia
14917,US,"A mongrel blend of Syrah, Sangiovese, Grenache and Cabernet Franc, this fruity red has a sweet core of blueberry jam, round and forward and quite appealing. It's dusted with baking spices and fades gently into a soft finish. Hard to imagine a more agreeable bottle of Washington red at this price.",Two Vines Vineyard 10 Red Wine,87,8,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Columbia Crest 2008 Two Vines Vineyard 10 Red Wine Red (Washington),Red Blend,Columbia Crest
15343,Portugal,"Apples and strawberry combine easily in this soft, fresh rosé. It's fruity, light, with a slight prickle in the mouth.",Casal Garcia,84,8,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2010 Casal Garcia Rosé (Vinho Verde),Rosé,Aveleda
15372,Spain,"Ripe aromas of baked berry and raisin stop short of being too ripe. In the mouth, this basic Tempranillo is chunky but balanced by fresh acids. Plum, prune and spice flavors finish loamy and plump. Good wine for $8.",Señorio de los Llanos Crianza,86,8,Central Spain,Valdepeñas,,Michael Schachner,@wineschach,Bodegas Los Llanos 2009 Señorio de los Llanos Crianza Tempranillo (Valdepeñas),Tempranillo,Bodegas Los Llanos
15599,US,"Yellow straw, oxidized, with dull and flat flavors showing hints of banana and dried apple.",,81,8,Washington,Rattlesnake Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Silver Lake 2006 Sauvignon Blanc (Rattlesnake Hills),Sauvignon Blanc,Silver Lake
15769,Portugal,"Named after a Portuguese dance, this fresh, fruitcake and blackberry-flavored wine is easily ready to drink, a wine that powers through with its sweet, juicy fruit and final acidity.",Charamba,88,8,Douro,,,Roger Voss,@vossroger,Aveleda 2005 Charamba Red (Douro),Portuguese Red,Aveleda
15812,Spain,"Tropical and forward, and with three months spent in oak, the wine offers some resin and vanilla both on the nose and in flavor. Tastes sweet, honeyed and nutty, with banana and melon notes. An easy drinker that will do best if well chilled.",White,85,8,Northern Spain,Campo de Borja,,Michael Schachner,@wineschach,Borsao 2010 White Macabeo (Campo de Borja),Macabeo,Borsao
15982,Australia,"Ripe black cherry and a lick of herbs are wrapped up in a solid structure of balanced acidity and tannins, with a slightly savory finish. The oak is prominent, as is the ripe fruit, but for the price, this is the kind of bargain Shiraz Australia once built its Stateside reputation on.",,86,8,Australia Other,South Eastern Australia,,,,Banrock Station 2015 Shiraz (South Eastern Australia),Shiraz,Banrock Station
16047,Portugal,"A blend of Syrah, Castelão and Aragonez, this is a ripe, full wine that has fine soft fruit. The tannins give just the right edge to the red fruits and final acidity. Drink now.",Bote,87,8,Lisboa,,,Roger Voss,@vossroger,Casca Wines 2015 Bote Red (Lisboa),Portuguese Red,Casca Wines
16068,Portugal,"This is an easy-drinking, smooth and generous wine. With its light tannins and red berry fruit, it is ready to drink young. The aftertaste adds some acidity to give a lift.",Lobocellar,87,8,Península de Setúbal,,,Roger Voss,@vossroger,Lobo 2014 Lobocellar Red (Península de Setúbal),Portuguese Red,Lobo
16094,Argentina,"Sweet melon and apple aromas fall off to cheesy. The palate has some jump in it, but the flavors are generic and sweet, suggesting mealy citrus and banana. A rudimentary wine with a gimmicky name.",,83,8,Other,San Juan,,Michael Schachner,@wineschach,Arge & Tina 2009 Chardonnay (San Juan),Chardonnay,Arge & Tina
16097,Portugal,"Ripe and fruity, with some sweetness that does not seem to be fully integrated. So the green plum flavors are attractive, as is the acidity, but there is an intrusive sugary edge.",Segada Branco,83,8,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2010 Segada Branco White (Lisboa),Portuguese White,DFJ Vinhos
16285,US,"Fresh apple flavors and a crisp vein of acidity make this medium-bodied wine lively and refreshing, while still delivering delicious Pippin apple and white peach flavors. It feels balanced, clean and easy to enjoy.",,87,8,California,California,California Other,Jim Gordon,@gordone_cellars,Twisted 2013 Chardonnay (California),Chardonnay,Twisted
